"Step","deft-plasma-3 - Training Rec. Loss","deft-plasma-3 - Training Rec. Loss__MIN","deft-plasma-3 - Training Rec. Loss__MAX","deft-plasma-3 - Validation Rec. Loss","deft-plasma-3 - Validation Rec. Loss__MIN","deft-plasma-3 - Validation Rec. Loss__MAX"
"0","0.27494268579689657","0.27494268579689657","0.27494268579689657","0.14041600476118712","0.14041600476118712","0.14041600476118712"
"1","0.15012938108322985","0.15012938108322985","0.15012938108322985","0.1370356253535192","0.1370356253535192","0.1370356253535192"
"2","0.14476375447583498","0.14476375447583498","0.14476375447583498","0.13587156212534474","0.13587156212534474","0.13587156212534474"
"3","0.14256807032433022","0.14256807032433022","0.14256807032433022","0.13307831289205418","0.13307831289205418","0.13307831289205418"
"4","0.14086376508878823","0.14086376508878823","0.14086376508878823","0.13117843149125563","0.13117843149125563","0.13117843149125563"
"5","0.13822924478787885","0.13822924478787885","0.13822924478787885","0.1291804272830633","0.1291804272830633","0.1291804272830633"
"6","0.13477819673619398","0.13477819673619398","0.13477819673619398","0.12596077777989537","0.12596077777989537","0.12596077777989537"
"7","0.12821654860171314","0.12821654860171314","0.12821654860171314","0.11901820127217295","0.11901820127217295","0.11901820127217295"
"8","0.11982694785664093","0.11982694785664093","0.11982694785664093","0.10970240136637034","0.10970240136637034","0.10970240136637034"
"9","0.11081559877969484","0.11081559877969484","0.11081559877969484","0.10282962209448651","0.10282962209448651","0.10282962209448651"
"10","0.10652183947965384","0.10652183947965384","0.10652183947965384","0.10097632873321231","0.10097632873321231","0.10097632873321231"
"11","0.10242438423131116","0.10242438423131116","0.10242438423131116","0.09848909263374432","0.09848909263374432","0.09848909263374432"
"12","0.10054973490928161","0.10054973490928161","0.10054973490928161","0.09933444479405128","0.09933444479405128","0.09933444479405128"
"13","0.0991703789640798","0.0991703789640798","0.0991703789640798","0.09276222681525755","0.09276222681525755","0.09276222681525755"
"14","0.09413794681131875","0.09413794681131875","0.09413794681131875","0.0868725799421564","0.0868725799421564","0.0868725799421564"
"15","0.08956064232972225","0.08956064232972225","0.08956064232972225","0.08386175382774883","0.08386175382774883","0.08386175382774883"
"16","0.08746921182464422","0.08746921182464422","0.08746921182464422","0.08028490609235668","0.08028490609235668","0.08028490609235668"
"17","0.0835843246715152","0.0835843246715152","0.0835843246715152","0.07604675451840699","0.07604675451840699","0.07604675451840699"
"18","0.07888115490762479","0.07888115490762479","0.07888115490762479","0.07600001698366556","0.07600001698366556","0.07600001698366556"
"19","0.07567208958630216","0.07567208958630216","0.07567208958630216","0.07589939538841348","0.07589939538841348","0.07589939538841348"
"20","0.07856445008269321","0.07856445008269321","0.07856445008269321","0.07059822047285905","0.07059822047285905","0.07059822047285905"
"21","0.07616596467955833","0.07616596467955833","0.07616596467955833","0.07124920579393249","0.07124920579393249","0.07124920579393249"
"22","0.07233266054002112","0.07233266054002112","0.07233266054002112","0.0716530305948326","0.0716530305948326","0.0716530305948326"
"23","0.06963227744059998","0.06963227744059998","0.06963227744059998","0.07240111682287693","0.07240111682287693","0.07240111682287693"
"24","0.06705330024427565","0.06705330024427565","0.06705330024427565","0.061214269884328744","0.061214269884328744","0.061214269884328744"
"25","0.06477458808923603","0.06477458808923603","0.06477458808923603","0.05737296553707805","0.05737296553707805","0.05737296553707805"
"26","0.06537510562791203","0.06537510562791203","0.06537510562791203","0.06614556865842613","0.06614556865842613","0.06614556865842613"
"27","0.06003756440488284","0.06003756440488284","0.06003756440488284","0.060963114020776296","0.060963114020776296","0.060963114020776296"
"28","0.057079249733897885","0.057079249733897885","0.057079249733897885","0.05743936074098513","0.05743936074098513","0.05743936074098513"
"29","0.053356988831668874","0.053356988831668874","0.053356988831668874","0.04699968989233184","0.04699968989233184","0.04699968989233184"
