"Step","graceful-water-8 - Train_loss","graceful-water-8 - Train_loss__MIN","graceful-water-8 - Train_loss__MAX","graceful-water-8 - Val_loss","graceful-water-8 - Val_loss__MIN","graceful-water-8 - Val_loss__MAX","kind-smoke-7 - Train_loss","kind-smoke-7 - Train_loss__MIN","kind-smoke-7 - Train_loss__MAX","kind-smoke-7 - Val_loss","kind-smoke-7 - Val_loss__MIN","kind-smoke-7 - Val_loss__MAX","deep-sound-6 - Train_loss","deep-sound-6 - Train_loss__MIN","deep-sound-6 - Train_loss__MAX","deep-sound-6 - Val_loss","deep-sound-6 - Val_loss__MIN","deep-sound-6 - Val_loss__MAX","lucky-plasma-3 - Train_loss","lucky-plasma-3 - Train_loss__MIN","lucky-plasma-3 - Train_loss__MAX","lucky-plasma-3 - Val_loss","lucky-plasma-3 - Val_loss__MIN","lucky-plasma-3 - Val_loss__MAX","vital-armadillo-2 - Train_loss","vital-armadillo-2 - Train_loss__MIN","vital-armadillo-2 - Train_loss__MAX","vital-armadillo-2 - Val_loss","vital-armadillo-2 - Val_loss__MIN","vital-armadillo-2 - Val_loss__MAX"
"0","1.0784130096435547","1.0784130096435547","1.0784130096435547","0.9898512959480286","0.9898512959480286","0.9898512959480286","0.981475830078125","0.981475830078125","0.981475830078125","0.890998125076294","0.890998125076294","0.890998125076294","0.7991939187049866","0.7991939187049866","0.7991939187049866","0.4616413414478302","0.4616413414478302","0.4616413414478302","0.8585860729217529","0.8585860729217529","0.8585860729217529","0.6636062264442444","0.6636062264442444","0.6636062264442444","0.7665026187896729","0.7665026187896729","0.7665026187896729","0.3605031371116638","0.3605031371116638","0.3605031371116638"
"1","0.9867357611656189","0.9867357611656189","0.9867357611656189","0.9812435507774353","0.9812435507774353","0.9812435507774353","0.7345201969146729","0.7345201969146729","0.7345201969146729","0.6150404810905457","0.6150404810905457","0.6150404810905457","0.34595417976379395","0.34595417976379395","0.34595417976379395","0.28701645135879517","0.28701645135879517","0.28701645135879517","0.3721836507320404","0.3721836507320404","0.3721836507320404","0.24700075387954712","0.24700075387954712","0.24700075387954712","0.24360115826129913","0.24360115826129913","0.24360115826129913","0.1958938091993332","0.1958938091993332","0.1958938091993332"
"2","0.9835057258605957","0.9835057258605957","0.9835057258605957","0.9798016548156738","0.9798016548156738","0.9798016548156738","0.570704460144043","0.570704460144043","0.570704460144043","0.5331912636756897","0.5331912636756897","0.5331912636756897","0.27859118580818176","0.27859118580818176","0.27859118580818176","0.2645699083805084","0.2645699083805084","0.2645699083805084","0.22222547233104706","0.22222547233104706","0.22222547233104706","0.21133363246917725","0.21133363246917725","0.21133363246917725","0.18719863891601562","0.18719863891601562","0.18719863891601562","0.17495517432689667","0.17495517432689667","0.17495517432689667"
"3","0.9833166599273682","0.9833166599273682","0.9833166599273682","0.9790353775024414","0.9790353775024414","0.9790353775024414","0.5182666778564453","0.5182666778564453","0.5182666778564453","0.4913812577724457","0.4913812577724457","0.4913812577724457","0.26563218235969543","0.26563218235969543","0.26563218235969543","0.25613611936569214","0.25613611936569214","0.25613611936569214","0.20127156376838684","0.20127156376838684","0.20127156376838684","0.19378261268138885","0.19378261268138885","0.19378261268138885","0.17111541330814362","0.17111541330814362","0.17111541330814362","0.1707766205072403","0.1707766205072403","0.1707766205072403"
"4","0.9827942848205566","0.9827942848205566","0.9827942848205566","0.9787585735321045","0.9787585735321045","0.9787585735321045","0.49161607027053833","0.49161607027053833","0.49161607027053833","0.4756305515766144","0.4756305515766144","0.4756305515766144","0.25666236877441406","0.25666236877441406","0.25666236877441406","0.2539384067058563","0.2539384067058563","0.2539384067058563","0.19135920703411102","0.19135920703411102","0.19135920703411102","0.1972745954990387","0.1972745954990387","0.1972745954990387","0.16547803580760956","0.16547803580760956","0.16547803580760956","0.1634603589773178","0.1634603589773178","0.1634603589773178"
"5","0.9823288321495056","0.9823288321495056","0.9823288321495056","0.9781488180160522","0.9781488180160522","0.9781488180160522","0.4746955931186676","0.4746955931186676","0.4746955931186676","0.45445847511291504","0.45445847511291504","0.45445847511291504","0.25096848607063293","0.25096848607063293","0.25096848607063293","0.24851082265377045","0.24851082265377045","0.24851082265377045","0.18712250888347626","0.18712250888347626","0.18712250888347626","0.18797793984413147","0.18797793984413147","0.18797793984413147","0.1611969769001007","0.1611969769001007","0.1611969769001007","0.16084502637386322","0.16084502637386322","0.16084502637386322"
"6","0.9823130369186401","0.9823130369186401","0.9823130369186401","0.9783995151519775","0.9783995151519775","0.9783995151519775","0.457927405834198","0.457927405834198","0.457927405834198","0.4585115909576416","0.4585115909576416","0.4585115909576416","0.24660924077033997","0.24660924077033997","0.24660924077033997","0.2555343210697174","0.2555343210697174","0.2555343210697174","0.184421569108963","0.184421569108963","0.184421569108963","0.18997366726398468","0.18997366726398468","0.18997366726398468","0.15799526870250702","0.15799526870250702","0.15799526870250702","0.15841829776763916","0.15841829776763916","0.15841829776763916"
"7","0.9821006655693054","0.9821006655693054","0.9821006655693054","0.9782849550247192","0.9782849550247192","0.9782849550247192","0.4565509855747223","0.4565509855747223","0.4565509855747223","0.4458650052547455","0.4458650052547455","0.4458650052547455","0.24586595594882965","0.24586595594882965","0.24586595594882965","0.25303590297698975","0.25303590297698975","0.25303590297698975","0.18118809163570404","0.18118809163570404","0.18118809163570404","0.18312440812587738","0.18312440812587738","0.18312440812587738","0.15534165501594543","0.15534165501594543","0.15534165501594543","0.15869203209877014","0.15869203209877014","0.15869203209877014"
"8","0.9821664094924927","0.9821664094924927","0.9821664094924927","0.9781990647315979","0.9781990647315979","0.9781990647315979","0.445803165435791","0.445803165435791","0.445803165435791","0.4392020106315613","0.4392020106315613","0.4392020106315613","0.24216946959495544","0.24216946959495544","0.24216946959495544","0.24161680042743683","0.24161680042743683","0.24161680042743683","0.17809411883354187","0.17809411883354187","0.17809411883354187","0.18006430566310883","0.18006430566310883","0.18006430566310883","0.1544562727212906","0.1544562727212906","0.1544562727212906","0.15411576628684998","0.15411576628684998","0.15411576628684998"
"9","0.9816674590110779","0.9816674590110779","0.9816674590110779","0.9781796336174011","0.9781796336174011","0.9781796336174011","0.43743696808815","0.43743696808815","0.43743696808815","0.4418236017227173","0.4418236017227173","0.4418236017227173","0.24551348388195038","0.24551348388195038","0.24551348388195038","0.23852288722991943","0.23852288722991943","0.23852288722991943","0.17937985062599182","0.17937985062599182","0.17937985062599182","0.17964257299900055","0.17964257299900055","0.17964257299900055","0.1537335216999054","0.1537335216999054","0.1537335216999054","0.15432824194431305","0.15432824194431305","0.15432824194431305"
