Index coax_placement_x  coax_placement_y  substrate_permittivity
   85 +0.0000000000E+00 +8.4343434343E+00 +3.0000000000E+00     
   86 +0.0000000000E+00 +8.4747474747E+00 +3.0000000000E+00     
   87 +0.0000000000E+00 +8.5151515152E+00 +3.0000000000E+00     
   88 +0.0000000000E+00 +8.5555555556E+00 +3.0000000000E+00     
   89 +0.0000000000E+00 +8.5959595960E+00 +3.0000000000E+00     
   90 +0.0000000000E+00 +8.6363636364E+00 +3.0000000000E+00     
   91 +0.0000000000E+00 +8.6767676768E+00 +3.0000000000E+00     
   92 +0.0000000000E+00 +8.7171717172E+00 +3.0000000000E+00     
   93 +0.0000000000E+00 +8.7575757576E+00 +3.0000000000E+00     
   94 +0.0000000000E+00 +8.7979797980E+00 +3.0000000000E+00     
   95 +0.0000000000E+00 +8.8383838384E+00 +3.0000000000E+00     
   96 +0.0000000000E+00 +8.8787878788E+00 +3.0000000000E+00     
   97 +0.0000000000E+00 +8.9191919192E+00 +3.0000000000E+00     
   98 +0.0000000000E+00 +8.9595959596E+00 +3.0000000000E+00     
   99 +0.0000000000E+00 +9.0000000000E+00 +3.0000000000E+00     
