"Step","fast-brook-7 - Train_loss","fast-brook-7 - Train_loss__MIN","fast-brook-7 - Train_loss__MAX","fast-brook-7 - Val_loss","fast-brook-7 - Val_loss__MIN","fast-brook-7 - Val_loss__MAX","fast-brook-7 - Test_loss","fast-brook-7 - Test_loss__MIN","fast-brook-7 - Test_loss__MAX"
"0","0.9393055718175474","0.9393055718175474","0.9393055718175474","0.8989451835667214","0.8989451835667214","0.8989451835667214","0.9121357832117657","0.9121357832117657","0.9121357832117657"
"1","0.8566914088197047","0.8566914088197047","0.8566914088197047","0.8303163620304292","0.8303163620304292","0.8303163620304292","0.8381785202580098","0.8381785202580098","0.8381785202580098"
"2","0.7655832553560354","0.7655832553560354","0.7655832553560354","0.7623066197899011","0.7623066197899011","0.7623066197899011","0.7669424727031419","0.7669424727031419","0.7669424727031419"
"3","0.7090609026082181","0.7090609026082181","0.7090609026082181","0.7108465201831413","0.7108465201831413","0.7108465201831413","0.7142602116402493","0.7142602116402493","0.7142602116402493"
"4","0.6555218251520538","0.6555218251520538","0.6555218251520538","0.6794879001792885","0.6794879001792885","0.6794879001792885","0.6847724404008211","0.6847724404008211","0.6847724404008211"
"5","0.6369500598912254","0.6369500598912254","0.6369500598912254","0.6777486031914508","0.6777486031914508","0.6777486031914508","0.6763283614789464","0.6763283614789464","0.6763283614789464"
"6","0.6099584217868589","0.6099584217868589","0.6099584217868589","0.6600950747509818","0.6600950747509818","0.6600950747509818","0.6569831854733934","0.6569831854733934","0.6569831854733934"
"7","0.5929471947204998","0.5929471947204998","0.5929471947204998","0.6176684633060799","0.6176684633060799","0.6176684633060799","0.6153419511087891","0.6153419511087891","0.6153419511087891"
"8","0.5770703794439381","0.5770703794439381","0.5770703794439381","0.5956825005286005","0.5956825005286005","0.5956825005286005","0.593431726193753","0.593431726193753","0.593431726193753"
"9","0.5655282423799906","0.5655282423799906","0.5655282423799906","0.5837440494768391","0.5837440494768391","0.5837440494768391","0.5855041186488179","0.5855041186488179","0.5855041186488179"
"10","0.5499680970426528","0.5499680970426528","0.5499680970426528","0.5804291602563985","0.5804291602563985","0.5804291602563985","0.5757473147293485","0.5757473147293485","0.5757473147293485"
"11","0.545298661395321","0.545298661395321","0.545298661395321","0.5713107773428895","0.5713107773428895","0.5713107773428895","0.5721744327498863","0.5721744327498863","0.5721744327498863"
"12","0.5316081260030755","0.5316081260030755","0.5316081260030755","0.5487280451998782","0.5487280451998782","0.5487280451998782","0.541827994676726","0.541827994676726","0.541827994676726"
"13","0.5236886857860198","0.5236886857860198","0.5236886857860198","0.5839127972701069","0.5839127972701069","0.5839127972701069","0.5777213486646073","0.5777213486646073","0.5777213486646073"
"14","0.5179385450088682","0.5179385450088682","0.5179385450088682","0.5566720684159926","0.5566720684159926","0.5566720684159926","0.5500323825119445","0.5500323825119445","0.5500323825119445"
"15","0.5069360091856662","0.5069360091856662","0.5069360091856662","0.5379006704095967","0.5379006704095967","0.5379006704095967","0.5366336850436989","0.5366336850436989","0.5366336850436989"
"16","0.49511942439564804","0.49511942439564804","0.49511942439564804","0.5376080546726252","0.5376080546726252","0.5376080546726252","0.5316439772313893","0.5316439772313893","0.5316439772313893"
"17","0.4951045685487165","0.4951045685487165","0.4951045685487165","0.5453997124016774","0.5453997124016774","0.5453997124016774","0.5391974287683252","0.5391974287683252","0.5391974287683252"
"18","0.4893013295475117","0.4893013295475117","0.4893013295475117","0.5260668367240374","0.5260668367240374","0.5260668367240374","0.5208719308709384","0.5208719308709384","0.5208719308709384"
"19","0.48142804340633355","0.48142804340633355","0.48142804340633355","0.5303653132289624","0.5303653132289624","0.5303653132289624","0.523163271873832","0.523163271873832","0.523163271873832"
"20","0.4744073004421325","0.4744073004421325","0.4744073004421325","0.5153216631413217","0.5153216631413217","0.5153216631413217","0.5114937499598012","0.5114937499598012","0.5114937499598012"
"21","0.4643031558138109","0.4643031558138109","0.4643031558138109","0.5186069200912664","0.5186069200912664","0.5186069200912664","0.5127998144979178","0.5127998144979178","0.5127998144979178"
"22","0.45989633815591796","0.45989633815591796","0.45989633815591796","0.5073022238636371","0.5073022238636371","0.5073022238636371","0.4955418941499156","0.4955418941499156","0.4955418941499156"
"23","0.4572703436242911","0.4572703436242911","0.4572703436242911","0.5244558094652085","0.5244558094652085","0.5244558094652085","0.5153626836374068","0.5153626836374068","0.5153626836374068"
"24","0.4489681727864562","0.4489681727864562","0.4489681727864562","0.5130251272712294","0.5130251272712294","0.5130251272712294","0.506210419265859","0.506210419265859","0.506210419265859"
"25","0.4385944736697897","0.4385944736697897","0.4385944736697897","0.5087006165910681","0.5087006165910681","0.5087006165910681","0.4945551487792144","0.4945551487792144","0.4945551487792144"
