"Step","celestial-jazz-4 - Test_loss","celestial-jazz-4 - Test_loss__MIN","celestial-jazz-4 - Test_loss__MAX","celestial-jazz-4 - Train_loss","celestial-jazz-4 - Train_loss__MIN","celestial-jazz-4 - Train_loss__MAX","celestial-jazz-4 - Val_loss","celestial-jazz-4 - Val_loss__MIN","celestial-jazz-4 - Val_loss__MAX"
"0","1.000010503903243","1.000010503903243","1.000010503903243","1.000076794439624","1.000076794439624","1.000076794439624","0.9999912817165675","0.9999912817165675","0.9999912817165675"
"1","1.0000122689880908","1.0000122689880908","1.0000122689880908","0.9999999793833789","0.9999999793833789","0.9999999793833789","0.9999917571000414","0.9999917571000414","0.9999917571000414"
"2","1.000021056098148","1.000021056098148","1.000021056098148","1.0000020151771873","1.0000020151771873","1.0000020151771873","0.9999865796506128","0.9999865796506128","0.9999865796506128"
"3","1.0000284439674958","1.0000284439674958","1.0000284439674958","1.000002431410417","1.000002431410417","1.000002431410417","0.9999803391903026","0.9999803391903026","0.9999803391903026"
"4","1.0000353178873789","1.0000353178873789","1.0000353178873789","1.0000025972606792","1.0000025972606792","1.0000025972606792","0.9999726199158421","0.9999726199158421","0.9999726199158421"
"5","1.0000430665171813","1.0000430665171813","1.0000430665171813","1.000001655955252","1.000001655955252","1.000001655955252","0.9999613726721945","0.9999613726721945","0.9999613726721945"
"6","1.0000509731774605","1.0000509731774605","1.0000509731774605","1.0000037883149147","1.0000037883149147","1.0000037883149147","0.99994983264416","0.99994983264416","0.99994983264416"
"7","1.0000736711589042","1.0000736711589042","1.0000736711589042","0.9999957945857291","0.9999957945857291","0.9999957945857291","0.9999235617278485","0.9999235617278485","0.9999235617278485"
"8","1.00006760166299","1.00006760166299","1.00006760166299","1.0000000695987934","1.0000000695987934","1.0000000695987934","0.9999178577245263","0.9999178577245263","0.9999178577245263"
"9","1.0001138308054192","1.0001138308054192","1.0001138308054192","0.9999843398764009","0.9999843398764009","0.9999843398764009","0.9998786387918236","0.9998786387918236","0.9998786387918236"
"10","1.0000449911861773","1.0000449911861773","1.0000449911861773","0.9999849431894934","0.9999849431894934","0.9999849431894934","0.9998958227502751","0.9998958227502751","0.9998958227502751"
"11","1.0001606427070528","1.0001606427070528","1.0001606427070528","0.9999747448047204","0.9999747448047204","0.9999747448047204","0.999827127284343","0.999827127284343","0.999827127284343"
"12","1.0000268233511622","1.0000268233511622","1.0000268233511622","0.9999675068724695","0.9999675068724695","0.9999675068724695","0.9998717585149214","0.9998717585149214","0.9998717585149214"
"13","1.0001543462487317","1.0001543462487317","1.0001543462487317","0.9999626648405276","0.9999626648405276","0.9999626648405276","0.9997920496180045","0.9997920496180045","0.9997920496180045"
"14","1.0000721653383744","1.0000721653383744","1.0000721653383744","0.9999532677206404","0.9999532677206404","0.9999532677206404","0.9998193333882139","0.9998193333882139","0.9998193333882139"
"15","1.0001652288726988","1.0001652288726988","1.0001652288726988","0.9999454547371165","0.9999454547371165","0.9999454547371165","0.9997715507348721","0.9997715507348721","0.9997715507348721"
"16","1.0000779668045687","1.0000779668045687","1.0000779668045687","0.9999433214466326","0.9999433214466326","0.9999433214466326","0.9997841165232257","0.9997841165232257","0.9997841165232257"
"17","1.000107191915828","1.000107191915828","1.000107191915828","0.9999375843770799","0.9999375843770799","0.9999375843770799","0.9997569919341333","0.9997569919341333","0.9997569919341333"
"18","1.0001391951666077","1.0001391951666077","1.0001391951666077","0.9999314197621185","0.9999314197621185","0.9999314197621185","0.9997340268176113","0.9997340268176113","0.9997340268176113"
"19","1.0001777664850344","1.0001777664850344","1.0001777664850344","0.9999133887626973","0.9999133887626973","0.9999133887626973","0.9997020522272997","0.9997020522272997","0.9997020522272997"
"20","1.0001391669403408","1.0001391669403408","1.0001391669403408","0.9999156543045691","0.9999156543045691","0.9999156543045691","0.9997163205805515","0.9997163205805515","0.9997163205805515"
"21","1.000173005663224","1.000173005663224","1.000173005663224","0.9998987753081469","0.9998987753081469","0.9998987753081469","0.9996959236341701","0.9996959236341701","0.9996959236341701"
"22","1.0001579314079738","1.0001579314079738","1.0001579314079738","0.9999067084543897","0.9999067084543897","0.9999067084543897","0.9996991909768315","0.9996991909768315","0.9996991909768315"
"23","1.0001898862343024","1.0001898862343024","1.0001898862343024","0.999892722920973","0.999892722920973","0.999892722920973","0.9996837894619386","0.9996837894619386","0.9996837894619386"
"24","1.0001464241633862","1.0001464241633862","1.0001464241633862","0.9998977473947639","0.9998977473947639","0.9998977473947639","0.999689242033531","0.999689242033531","0.999689242033531"
"25","1.0002017701805097","1.0002017701805097","1.0002017701805097","0.9998855839572516","0.9998855839572516","0.9998855839572516","0.9996682897727381","0.9996682897727381","0.9996682897727381"
