"Step","chocolate-sound-430 - Test_loss","chocolate-sound-430 - Test_loss__MIN","chocolate-sound-430 - Test_loss__MAX","chocolate-sound-430 - Train_loss","chocolate-sound-430 - Train_loss__MIN","chocolate-sound-430 - Train_loss__MAX","chocolate-sound-430 - Val_loss","chocolate-sound-430 - Val_loss__MIN","chocolate-sound-430 - Val_loss__MAX"
"0","0.26755737321166106","0.26755737321166106","0.26755737321166106","0.3301476418530649","0.3301476418530649","0.3301476418530649","0.2681110471243721","0.2681110471243721","0.2681110471243721"
"1","0.2622808410195313","0.2622808410195313","0.2622808410195313","0.262143758274903","0.262143758274903","0.262143758274903","0.2622440443977521","0.2622440443977521","0.2622440443977521"
"2","0.25648949544104","0.25648949544104","0.25648949544104","0.2588307324729317","0.2588307324729317","0.2588307324729317","0.25703145970466634","0.25703145970466634","0.25703145970466634"
"3","0.2500900127869737","0.2500900127869737","0.2500900127869737","0.259904129508825","0.259904129508825","0.259904129508825","0.24935918797869822","0.24935918797869822","0.24935918797869822"
"4","0.23808202547827356","0.23808202547827356","0.23808202547827356","0.2479327551090162","0.2479327551090162","0.2479327551090162","0.23973289137329581","0.23973289137329581","0.23973289137329581"
"5","0.23215590666103172","0.23215590666103172","0.23215590666103172","0.24606710031692847","0.24606710031692847","0.24606710031692847","0.2340018357526992","0.2340018357526992","0.2340018357526992"
"6","0.2509699988648465","0.2509699988648465","0.2509699988648465","0.24076482935703727","0.24076482935703727","0.24076482935703727","0.25285597127466336","0.25285597127466336","0.25285597127466336"
"7","0.24384368941695406","0.24384368941695406","0.24384368941695406","0.24063848404165172","0.24063848404165172","0.24063848404165172","0.24571843569473886","0.24571843569473886","0.24571843569473886"
"8","0.24099152522362047","0.24099152522362047","0.24099152522362047","0.23855262223787646","0.23855262223787646","0.23855262223787646","0.24317650154262382","0.24317650154262382","0.24317650154262382"
"9","0.2362878523723813","0.2362878523723813","0.2362878523723813","0.236762078266412","0.236762078266412","0.236762078266412","0.23900014265103595","0.23900014265103595","0.23900014265103595"
"10","0.2397086794899396","0.2397086794899396","0.2397086794899396","0.23561573867146363","0.23561573867146363","0.23561573867146363","0.24093120505290905","0.24093120505290905","0.24093120505290905"
"11","0.23520605059312194","0.23520605059312194","0.23520605059312194","0.23410062522862152","0.23410062522862152","0.23410062522862152","0.23710709762268742","0.23710709762268742","0.23710709762268742"
"12","0.2345231387897407","0.2345231387897407","0.2345231387897407","0.2333649983460964","0.2333649983460964","0.2333649983460964","0.2362843677409675","0.2362843677409675","0.2362843677409675"
"13","0.22918282355280642","0.22918282355280642","0.22918282355280642","0.23288518136097075","0.23288518136097075","0.23288518136097075","0.23160015873008008","0.23160015873008008","0.23160015873008008"
"14","0.22674921348263047","0.22674921348263047","0.22674921348263047","0.23263037205675988","0.23263037205675988","0.23263037205675988","0.2294409797502982","0.2294409797502982","0.2294409797502982"
"15","0.22636482217227044","0.22636482217227044","0.22636482217227044","0.23142716572367505","0.23142716572367505","0.23142716572367505","0.22839327009421895","0.22839327009421895","0.22839327009421895"
"16","0.2252161943685421","0.2252161943685421","0.2252161943685421","0.23065066517259625","0.23065066517259625","0.23065066517259625","0.22747998659315083","0.22747998659315083","0.22747998659315083"
"17","0.22296385699687138","0.22296385699687138","0.22296385699687138","0.22965747651925403","0.22965747651925403","0.22965747651925403","0.22403820639107971","0.22403820639107971","0.22403820639107971"
