"Step","polished-universe-62 - Test_loss","polished-universe-62 - Test_loss__MIN","polished-universe-62 - Test_loss__MAX","polished-universe-62 - Train_loss","polished-universe-62 - Train_loss__MIN","polished-universe-62 - Train_loss__MAX","polished-universe-62 - Val_loss","polished-universe-62 - Val_loss__MIN","polished-universe-62 - Val_loss__MAX"
"0","0.8001963496208191","0.8001963496208191","0.8001963496208191","0.912218451499939","0.912218451499939","0.912218451499939","0.8114351630210876","0.8114351630210876","0.8114351630210876"
"1","0.6778807640075684","0.6778807640075684","0.6778807640075684","0.7199099659919739","0.7199099659919739","0.7199099659919739","0.7116768956184387","0.7116768956184387","0.7116768956184387"
"2","0.647210955619812","0.647210955619812","0.647210955619812","0.6747493147850037","0.6747493147850037","0.6747493147850037","0.6817852854728699","0.6817852854728699","0.6817852854728699"
"3","0.6379878520965576","0.6379878520965576","0.6379878520965576","0.6586494445800781","0.6586494445800781","0.6586494445800781","0.671481192111969","0.671481192111969","0.671481192111969"
"4","0.625942051410675","0.625942051410675","0.625942051410675","0.6467302441596985","0.6467302441596985","0.6467302441596985","0.6577779054641724","0.6577779054641724","0.6577779054641724"
"5","0.6333523988723755","0.6333523988723755","0.6333523988723755","0.6304503679275513","0.6304503679275513","0.6304503679275513","0.6602022647857666","0.6602022647857666","0.6602022647857666"
"6","0.5834034085273743","0.5834034085273743","0.5834034085273743","0.6179817914962769","0.6179817914962769","0.6179817914962769","0.6049904823303223","0.6049904823303223","0.6049904823303223"
"7","0.5511868596076965","0.5511868596076965","0.5511868596076965","0.5772814750671387","0.5772814750671387","0.5772814750671387","0.5645047426223755","0.5645047426223755","0.5645047426223755"
"8","0.5204775929450989","0.5204775929450989","0.5204775929450989","0.5406733155250549","0.5406733155250549","0.5406733155250549","0.532192051410675","0.532192051410675","0.532192051410675"
"9","0.5065057873725891","0.5065057873725891","0.5065057873725891","0.5186924338340759","0.5186924338340759","0.5186924338340759","0.5162544846534729","0.5162544846534729","0.5162544846534729"
"10","0.48385652899742126","0.48385652899742126","0.48385652899742126","0.49660807847976685","0.49660807847976685","0.49660807847976685","0.4909946918487549","0.4909946918487549","0.4909946918487549"
"11","0.4956904947757721","0.4956904947757721","0.4956904947757721","0.4986509382724762","0.4986509382724762","0.4986509382724762","0.5011488795280457","0.5011488795280457","0.5011488795280457"
"12","0.43848544359207153","0.43848544359207153","0.43848544359207153","0.46112966537475586","0.46112966537475586","0.46112966537475586","0.43905916810035706","0.43905916810035706","0.43905916810035706"
"13","0.3988216519355774","0.3988216519355774","0.3988216519355774","0.41535043716430664","0.41535043716430664","0.41535043716430664","0.39856523275375366","0.39856523275375366","0.39856523275375366"
"14","0.36490514874458313","0.36490514874458313","0.36490514874458313","0.3786555230617523","0.3786555230617523","0.3786555230617523","0.3640713095664978","0.3640713095664978","0.3640713095664978"
"15","0.37503281235694885","0.37503281235694885","0.37503281235694885","0.36018484830856323","0.36018484830856323","0.36018484830856323","0.36969053745269775","0.36969053745269775","0.36969053745269775"
"16","0.34749293327331543","0.34749293327331543","0.34749293327331543","0.3581232726573944","0.3581232726573944","0.3581232726573944","0.34230783581733704","0.34230783581733704","0.34230783581733704"
"17","0.32945913076400757","0.32945913076400757","0.32945913076400757","0.3344026505947113","0.3344026505947113","0.3344026505947113","0.32517725229263306","0.32517725229263306","0.32517725229263306"
"18","0.30905744433403015","0.30905744433403015","0.30905744433403015","0.3123343288898468","0.3123343288898468","0.3123343288898468","0.30568933486938477","0.30568933486938477","0.30568933486938477"
"19","0.2873936593532562","0.2873936593532562","0.2873936593532562","0.2942562997341156","0.2942562997341156","0.2942562997341156","0.28711166977882385","0.28711166977882385","0.28711166977882385"
"20","0.28404170274734497","0.28404170274734497","0.28404170274734497","0.281582772731781","0.281582772731781","0.281582772731781","0.28047260642051697","0.28047260642051697","0.28047260642051697"
"21","0.2800493836402893","0.2800493836402893","0.2800493836402893","0.2748783528804779","0.2748783528804779","0.2748783528804779","0.27793246507644653","0.27793246507644653","0.27793246507644653"
"22","0.2639892101287842","0.2639892101287842","0.2639892101287842","0.2792426645755768","0.2792426645755768","0.2792426645755768","0.2640465497970581","0.2640465497970581","0.2640465497970581"
"23","0.279947429895401","0.279947429895401","0.279947429895401","0.2576448917388916","0.2576448917388916","0.2576448917388916","0.27284690737724304","0.27284690737724304","0.27284690737724304"
"24","0.2659788429737091","0.2659788429737091","0.2659788429737091","0.26611706614494324","0.26611706614494324","0.26611706614494324","0.2578483819961548","0.2578483819961548","0.2578483819961548"
"25","0.24780672788619995","0.24780672788619995","0.24780672788619995","0.24921293556690216","0.24921293556690216","0.24921293556690216","0.24093985557556152","0.24093985557556152","0.24093985557556152"
"26","0.2357935905456543","0.2357935905456543","0.2357935905456543","0.24312448501586914","0.24312448501586914","0.24312448501586914","0.23354153335094452","0.23354153335094452","0.23354153335094452"
"27","0.23345495760440826","0.23345495760440826","0.23345495760440826","0.23342160880565643","0.23342160880565643","0.23342160880565643","0.23408037424087524","0.23408037424087524","0.23408037424087524"
"28","0.22013281285762787","0.22013281285762787","0.22013281285762787","0.22794920206069946","0.22794920206069946","0.22794920206069946","0.2205376774072647","0.2205376774072647","0.2205376774072647"
"29","0.2074132263660431","0.2074132263660431","0.2074132263660431","0.21572045981884003","0.21572045981884003","0.21572045981884003","0.2083427459001541","0.2083427459001541","0.2083427459001541"
"30","0.20519119501113892","0.20519119501113892","0.20519119501113892","0.20775501430034637","0.20775501430034637","0.20775501430034637","0.206262469291687","0.206262469291687","0.206262469291687"
"31","0.22280997037887573","0.22280997037887573","0.22280997037887573","0.2154597043991089","0.2154597043991089","0.2154597043991089","0.21934811770915985","0.21934811770915985","0.21934811770915985"
"32","0.19951187074184418","0.19951187074184418","0.19951187074184418","0.2090449035167694","0.2090449035167694","0.2090449035167694","0.20165356993675232","0.20165356993675232","0.20165356993675232"
"33","0.1977653205394745","0.1977653205394745","0.1977653205394745","0.1935988813638687","0.1935988813638687","0.1935988813638687","0.19819587469100952","0.19819587469100952","0.19819587469100952"
"34","0.18524065613746643","0.18524065613746643","0.18524065613746643","0.19300447404384613","0.19300447404384613","0.19300447404384613","0.18895471096038818","0.18895471096038818","0.18895471096038818"
"35","0.18223625421524048","0.18223625421524048","0.18223625421524048","0.18280157446861267","0.18280157446861267","0.18280157446861267","0.18644453585147858","0.18644453585147858","0.18644453585147858"
"36","0.1829138845205307","0.1829138845205307","0.1829138845205307","0.18226929008960724","0.18226929008960724","0.18226929008960724","0.1870199292898178","0.1870199292898178","0.1870199292898178"
"37","0.17842838168144226","0.17842838168144226","0.17842838168144226","0.18152612447738647","0.18152612447738647","0.18152612447738647","0.18219584226608276","0.18219584226608276","0.18219584226608276"
"38","0.17190122604370117","0.17190122604370117","0.17190122604370117","0.1754612922668457","0.1754612922668457","0.1754612922668457","0.1765461266040802","0.1765461266040802","0.1765461266040802"
"39","0.1728767305612564","0.1728767305612564","0.1728767305612564","0.1740436851978302","0.1740436851978302","0.1740436851978302","0.17729929089546204","0.17729929089546204","0.17729929089546204"
"40","0.18159893155097961","0.18159893155097961","0.18159893155097961","0.17996978759765625","0.17996978759765625","0.17996978759765625","0.18674704432487488","0.18674704432487488","0.18674704432487488"
"41","0.16943256556987762","0.16943256556987762","0.16943256556987762","0.1733781099319458","0.1733781099319458","0.1733781099319458","0.17464089393615723","0.17464089393615723","0.17464089393615723"
"42","0.15989959239959717","0.15989959239959717","0.15989959239959717","0.16663812100887299","0.16663812100887299","0.16663812100887299","0.16533313691616058","0.16533313691616058","0.16533313691616058"
"43","0.15915469825267792","0.15915469825267792","0.15915469825267792","0.16267329454421997","0.16267329454421997","0.16267329454421997","0.1646391749382019","0.1646391749382019","0.1646391749382019"
"44","0.15949483215808868","0.15949483215808868","0.15949483215808868","0.16069155931472778","0.16069155931472778","0.16069155931472778","0.16560471057891846","0.16560471057891846","0.16560471057891846"
"45","0.16703934967517853","0.16703934967517853","0.16703934967517853","0.16503340005874634","0.16503340005874634","0.16503340005874634","0.17502838373184204","0.17502838373184204","0.17502838373184204"
"46","0.16814997792243958","0.16814997792243958","0.16814997792243958","0.16317784786224365","0.16317784786224365","0.16317784786224365","0.1743406355381012","0.1743406355381012","0.1743406355381012"
"47","0.16500455141067505","0.16500455141067505","0.16500455141067505","0.1649450957775116","0.1649450957775116","0.1649450957775116","0.16865500807762146","0.16865500807762146","0.16865500807762146"
"48","0.1581890732049942","0.1581890732049942","0.1581890732049942","0.16343659162521362","0.16343659162521362","0.16343659162521362","0.16368436813354492","0.16368436813354492","0.16368436813354492"
"49","0.15464471280574799","0.15464471280574799","0.15464471280574799","0.16154856979846954","0.16154856979846954","0.16154856979846954","0.1607629507780075","0.1607629507780075","0.1607629507780075"
"50","0.15373964607715607","0.15373964607715607","0.15373964607715607","0.15414661169052124","0.15414661169052124","0.15414661169052124","0.16063690185546875","0.16063690185546875","0.16063690185546875"
"51","0.15355171263217926","0.15355171263217926","0.15355171263217926","0.15196950733661652","0.15196950733661652","0.15196950733661652","0.16025638580322266","0.16025638580322266","0.16025638580322266"
"52","0.15049366652965546","0.15049366652965546","0.15049366652965546","0.1498619019985199","0.1498619019985199","0.1498619019985199","0.1571180671453476","0.1571180671453476","0.1571180671453476"
"53","0.14308129251003265","0.14308129251003265","0.14308129251003265","0.1476762443780899","0.1476762443780899","0.1476762443780899","0.14863446354866028","0.14863446354866028","0.14863446354866028"
"54","0.13803765177726746","0.13803765177726746","0.13803765177726746","0.14205923676490784","0.14205923676490784","0.14205923676490784","0.1432792991399765","0.1432792991399765","0.1432792991399765"
"55","0.13761784136295319","0.13761784136295319","0.13761784136295319","0.13867032527923584","0.13867032527923584","0.13867032527923584","0.14291386306285858","0.14291386306285858","0.14291386306285858"
"56","0.1401972621679306","0.1401972621679306","0.1401972621679306","0.14071276783943176","0.14071276783943176","0.14071276783943176","0.14545051753520966","0.14545051753520966","0.14545051753520966"
