Index coax_placement_x  coax_placement_y  substrate_permittivity
   85 +1.4343434343E+00 +7.0000000000E+00 +3.0000000000E+00     
   86 +1.4747474747E+00 +7.0000000000E+00 +3.0000000000E+00     
   87 +1.5151515152E+00 +7.0000000000E+00 +3.0000000000E+00     
   88 +1.5555555556E+00 +7.0000000000E+00 +3.0000000000E+00     
   89 +1.5959595960E+00 +7.0000000000E+00 +3.0000000000E+00     
   90 +1.6363636364E+00 +7.0000000000E+00 +3.0000000000E+00     
   91 +1.6767676768E+00 +7.0000000000E+00 +3.0000000000E+00     
   92 +1.7171717172E+00 +7.0000000000E+00 +3.0000000000E+00     
   93 +1.7575757576E+00 +7.0000000000E+00 +3.0000000000E+00     
   94 +1.7979797980E+00 +7.0000000000E+00 +3.0000000000E+00     
   95 +1.8383838384E+00 +7.0000000000E+00 +3.0000000000E+00     
   96 +1.8787878788E+00 +7.0000000000E+00 +3.0000000000E+00     
   97 +1.9191919192E+00 +7.0000000000E+00 +3.0000000000E+00     
   98 +1.9595959596E+00 +7.0000000000E+00 +3.0000000000E+00     
   99 +2.0000000000E+00 +7.0000000000E+00 +3.0000000000E+00     
