Index coax_placement_x  coax_placement_y  substrate_permittivity
   85 +1.3333333333E+00 +5.6666666667E+00 +2.9333333333E+00     
   86 +1.3333333333E+00 +6.3333333333E+00 +2.9333333333E+00     
   87 +1.3333333333E+00 +7.0000000000E+00 +2.9333333333E+00     
   88 +1.3333333333E+00 +7.6666666667E+00 +2.9333333333E+00     
   89 +1.3333333333E+00 +8.3333333333E+00 +2.9333333333E+00     
   90 +1.3333333333E+00 +9.0000000000E+00 +2.9333333333E+00     
   91 +2.0000000000E+00 +5.0000000000E+00 +2.9333333333E+00     
   92 +2.0000000000E+00 +5.6666666667E+00 +2.9333333333E+00     
   93 +2.0000000000E+00 +6.3333333333E+00 +2.9333333333E+00     
   94 +2.0000000000E+00 +7.0000000000E+00 +2.9333333333E+00     
   95 +2.0000000000E+00 +7.6666666667E+00 +2.9333333333E+00     
   96 +2.0000000000E+00 +8.3333333333E+00 +2.9333333333E+00     
   97 +2.0000000000E+00 +9.0000000000E+00 +2.9333333333E+00     
   98 -2.0000000000E+00 +5.0000000000E+00 +2.9666666667E+00     
   99 -2.0000000000E+00 +5.6666666667E+00 +2.9666666667E+00     
  100 -2.0000000000E+00 +6.3333333333E+00 +2.9666666667E+00     
  101 -2.0000000000E+00 +7.0000000000E+00 +2.9666666667E+00     
  102 -2.0000000000E+00 +7.6666666667E+00 +2.9666666667E+00     
  103 -2.0000000000E+00 +8.3333333333E+00 +2.9666666667E+00     
  104 -2.0000000000E+00 +9.0000000000E+00 +2.9666666667E+00     
  105 -1.3333333333E+00 +5.0000000000E+00 +2.9666666667E+00     
  106 -1.3333333333E+00 +5.6666666667E+00 +2.9666666667E+00     
  107 -1.3333333333E+00 +6.3333333333E+00 +2.9666666667E+00     
  108 -1.3333333333E+00 +7.0000000000E+00 +2.9666666667E+00     
  109 -1.3333333333E+00 +7.6666666667E+00 +2.9666666667E+00     
  110 -1.3333333333E+00 +8.3333333333E+00 +2.9666666667E+00     
  111 -1.3333333333E+00 +9.0000000000E+00 +2.9666666667E+00     
  112 -6.6666666667E-01 +5.0000000000E+00 +2.9666666667E+00     
  113 -6.6666666667E-01 +5.6666666667E+00 +2.9666666667E+00     
  114 -6.6666666667E-01 +6.3333333333E+00 +2.9666666667E+00     
  115 -6.6666666667E-01 +7.0000000000E+00 +2.9666666667E+00     
  116 -6.6666666667E-01 +7.6666666667E+00 +2.9666666667E+00     
  117 -6.6666666667E-01 +8.3333333333E+00 +2.9666666667E+00     
  118 -6.6666666667E-01 +9.0000000000E+00 +2.9666666667E+00     
  119 +0.0000000000E+00 +5.0000000000E+00 +2.9666666667E+00     
  120 +0.0000000000E+00 +5.6666666667E+00 +2.9666666667E+00     
  121 +0.0000000000E+00 +6.3333333333E+00 +2.9666666667E+00     
  122 +0.0000000000E+00 +7.0000000000E+00 +2.9666666667E+00     
  123 +0.0000000000E+00 +7.6666666667E+00 +2.9666666667E+00     
  124 +0.0000000000E+00 +8.3333333333E+00 +2.9666666667E+00     
  125 +0.0000000000E+00 +9.0000000000E+00 +2.9666666667E+00     
  126 +6.6666666667E-01 +5.0000000000E+00 +2.9666666667E+00     
  127 +6.6666666667E-01 +5.6666666667E+00 +2.9666666667E+00     
  128 +6.6666666667E-01 +6.3333333333E+00 +2.9666666667E+00     
  129 +6.6666666667E-01 +7.0000000000E+00 +2.9666666667E+00     
  130 +6.6666666667E-01 +7.6666666667E+00 +2.9666666667E+00     
  131 +6.6666666667E-01 +8.3333333333E+00 +2.9666666667E+00     
  132 +6.6666666667E-01 +9.0000000000E+00 +2.9666666667E+00     
  133 +1.3333333333E+00 +5.0000000000E+00 +2.9666666667E+00     
  134 +1.3333333333E+00 +5.6666666667E+00 +2.9666666667E+00     
  135 +1.3333333333E+00 +6.3333333333E+00 +2.9666666667E+00     
  136 +1.3333333333E+00 +7.0000000000E+00 +2.9666666667E+00     
  137 +1.3333333333E+00 +7.6666666667E+00 +2.9666666667E+00     
  138 +1.3333333333E+00 +8.3333333333E+00 +2.9666666667E+00     
  139 +1.3333333333E+00 +9.0000000000E+00 +2.9666666667E+00     
  140 +2.0000000000E+00 +5.0000000000E+00 +2.9666666667E+00     
  141 +2.0000000000E+00 +5.6666666667E+00 +2.9666666667E+00     
  142 +2.0000000000E+00 +6.3333333333E+00 +2.9666666667E+00     
  143 +2.0000000000E+00 +7.0000000000E+00 +2.9666666667E+00     
  144 +2.0000000000E+00 +7.6666666667E+00 +2.9666666667E+00     
  145 +2.0000000000E+00 +8.3333333333E+00 +2.9666666667E+00     
  146 +2.0000000000E+00 +9.0000000000E+00 +2.9666666667E+00     
  147 -2.0000000000E+00 +5.0000000000E+00 +3.0000000000E+00     
  148 -2.0000000000E+00 +5.6666666667E+00 +3.0000000000E+00     
  149 -2.0000000000E+00 +6.3333333333E+00 +3.0000000000E+00     
  150 -2.0000000000E+00 +7.0000000000E+00 +3.0000000000E+00     
  151 -2.0000000000E+00 +7.6666666667E+00 +3.0000000000E+00     
  152 -2.0000000000E+00 +8.3333333333E+00 +3.0000000000E+00     
  153 -2.0000000000E+00 +9.0000000000E+00 +3.0000000000E+00     
  154 -1.3333333333E+00 +5.0000000000E+00 +3.0000000000E+00     
  155 -1.3333333333E+00 +5.6666666667E+00 +3.0000000000E+00     
  156 -1.3333333333E+00 +6.3333333333E+00 +3.0000000000E+00     
  157 -1.3333333333E+00 +7.0000000000E+00 +3.0000000000E+00     
  158 -1.3333333333E+00 +7.6666666667E+00 +3.0000000000E+00     
  159 -1.3333333333E+00 +8.3333333333E+00 +3.0000000000E+00     
  160 -1.3333333333E+00 +9.0000000000E+00 +3.0000000000E+00     
